ticker,date,change_percent,from_open_percent,gap,change_percent_pre,from_open_percent_pre,gap_pre,beta_pre,atr_pre,sma20_percent_pre,sma50_percent_pre,sma200_percent_pre,high_52w_percent_pre,low_52w_percent_pre,rsi_pre,price_pre,volume_pre
BYSI,2025-05-20,3.19,3.19,0,12.26,6.1,5.81,0.14,0.13,27.26,12.65,-5.26,-52,77.55,65.52,1.74,62667
ULY,2025-05-01,-39.87,-47.36,14.23,30.59,6.43,22.7,1.42,1.53,157.27,165.65,83.68,-53.5,398.33,87.65,14.9,3314864
ATI,2025-05-20,-0.55,0.49,-1.03,14.45,7.31,6.66,1.01,3.06,27.76,19.61,6.75,-9.69,58.65,72.32,62.24,5171879
NCSM,2025-05-02,0.85,-3.73,4.76,15.32,8.03,6.74,0.66,2.35,17.56,13.33,39.78,-12.63,114.03,61.89,34.03,17603
ADPT,2025-05-05,1.93,2.35,-0.41,33.7,11.69,19.7,1.71,0.75,27.61,26.21,60.13,9.21,259.12,69.82,9.84,15333678
EXOD,2025-04-16,-2.16,-3.15,1.03,10.92,5.59,5.05,3.42,4.69,8.71,10.59,56.69,-61.85,273.25,54.72,44.79,89209
IRTC,2025-05-05,3.54,4.77,-1.17,20.75,9.49,10.28,1.31,6.18,26.2,24.7,47.36,2.02,134.48,79.55,131.12,2131856
SMMT,2025-05-05,0.43,0.43,0,13.09,7.6,5.11,-0.94,3.24,15.83,30.66,47.23,-24.41,1228.57,57.14,27.9,7350116
GPUS,2025-05-15,7.35,12.81,-4.84,31.28,15.76,13.4,3.34,1.17,137.35,138.15,10.82,-69.55,400.97,65.85,6.17,87816432
AQB,2025-05-07,-22.35,2.27,-24.07,46.88,36.23,7.81,1.14,0.08,41.83,41.1,1.12,-56.68,99.87,73.19,0.94,12070104
FOXX,2025-05-20,-3.34,-4.78,1.51,12.93,5.41,7.14,-0.16,0.74,13.91,18.39,-19.82,-60.97,139.26,58.94,5.85,11250
GYRO,2025-05-20,3.49,3.49,0,22.38,5.84,15.63,0.35,0.45,10.74,4.4,6.43,-22.74,35.89,60.26,9.24,204
ASST,2025-05-08,126.84,37.32,65.19,455.74,94.83,185.25,4.82,0.25,388.21,468.83,280.81,-13.96,911.94,96.01,3.39,304962675
ATRO,2025-04-17,-4.52,-4.23,-0.31,16.65,8.21,7.79,1.46,1.25,21.48,17.74,39.07,2.89,93.91,72.47,27.4,1961613
CDRE,2025-05-20,-1.44,-1.1,-0.34,19.62,8.85,9.9,1.33,1.64,16.99,13.71,2.65,-12.07,30.83,72.56,35.42,972813
EYE,2025-04-17,2.1,2.19,-0.09,17.1,5.33,11.18,1.03,0.75,27.24,26.81,36.23,-16.43,63.28,79.21,15.61,11341352
FTK,2025-05-20,0.26,0.26,0,42.16,30.13,9.24,1,0.68,43.49,31.57,49.08,-1.93,211.35,74.98,10.15,1281920
LION,2025-05-08,-4.42,-0.89,-3.56,20.03,5.16,14.14,-0.05,0.48,19.73,10.85,12.47,-36.53,36.29,66.52,8.15,5801956
OSCR,2025-05-20,-1.67,-2.14,0.48,30.22,8.13,20.43,1.75,0.97,33.9,26.6,7.06,-28.46,51.96,77.9,17.02,28693693
TPB,2025-05-08,-6.59,-5.07,-1.6,24.83,9.05,14.47,0.7,3.18,33.89,33.97,52.31,11.66,164.58,87.8,81,663191
BKSY,2025-05-20,0.08,0,0.08,31.01,20.15,9.04,1.75,0.81,41.74,29.27,20.95,-47.76,196.63,73.01,11.45,2525268
CDE,2025-04-16,2.79,-1.26,4.1,21.64,10.11,10.47,1.16,0.42,19.78,20.91,12.18,-9.72,52.52,68.29,6.97,33773621
CMP,2025-05-09,4.84,5.31,-0.45,26.21,19.73,5.41,0.96,0.79,42.52,62.81,52.95,13.53,139.15,88.47,17.96,2337950
EHAB,2025-05-09,6.09,3.94,2.06,18.17,11.89,5.61,1.21,0.38,22.8,16.52,19.21,-9.44,41.46,75.75,9.69,673641
GRPN,2025-05-09,3.22,1.54,1.65,42.58,27.42,11.9,0.83,1.57,29.53,46.19,90.05,19.74,212.39,75.96,24.21,8257181
GTN,2025-05-09,-2.76,-2.76,0,16.94,7.14,9.14,1.12,0.28,24.57,11.6,-1.43,-40.25,49.48,65.83,4.35,3077809
QBTS,2025-05-09,6.43,10.35,-3.55,51.23,20.05,25.98,0.88,0.92,44.98,44.39,150.05,-12.8,1288.41,70.46,10.42,227653723
SEZL,2025-05-09,16.16,17.7,-1.31,42.14,9.11,30.27,8.49,5.76,55.82,77.6,92.62,-5.79,1013.84,80.1,74.98,6282926
ATGE,2025-05-12,-3.2,-4.5,1.37,17.58,11.13,5.8,0.86,5.55,25.14,32.33,52.33,15.57,118.79,80.52,136.25,1952443
AGEN,2025-05-13,-3.43,-4.52,1.14,20.27,8.36,11,1.38,0.34,29.01,60.07,-4.85,-82.22,153.62,70.39,3.5,3174896
CTMX,2025-05-20,-3.29,-3.74,0.47,129.43,12.11,104.65,1.16,0.19,151.85,205.64,118.72,3.9,432.5,85.66,2.13,112077455
LENZ,2025-05-02,2.22,0.17,2.04,11.5,5.04,6.15,0.5,2.36,11.03,18.63,12.38,-24.56,103.68,60.82,29.37,223253
ARRY,2025-05-14,0.73,2.34,-1.58,20.61,7.84,11.84,1.77,0.6,61.7,58.37,29.24,-43.84,119.41,80.42,8.25,18809234
COIN,2025-05-20,-0.99,-1.19,0.21,23.97,10.83,11.86,3.56,14.43,29.11,34.62,14.09,-26.55,80.18,74.67,256.9,38870786
EXEL,2025-04-22,2.5,1.36,1.12,20.84,9.84,10.01,0.23,1.81,18.24,20.29,36.87,10.9,121.7,74.8,44.65,12912074
FORA,2025-05-20,-2.73,-4.04,1.36,20.43,12,7.53,1.12,0.15,12.27,11.72,3.35,-44.42,21.08,59.68,2.24,9773
FULC,2025-05-06,-6.63,-5.14,-1.57,17.23,10.18,6.39,2.28,0.49,42.35,82.43,46.1,-34.85,185.1,78.71,6.6,1168604
ISSC,2025-05-20,-5.82,-5.82,0,33.2,7.82,23.54,0.67,0.5,41.61,48.14,30.56,-19.56,99.39,81.4,9.79,1640794
KDLY,2025-05-06,12.92,11.27,1.48,24.88,17.32,6.45,-0.64,0.27,51.95,56.77,80.91,-48.38,316.92,74.22,2.71,551720
