ticker,beta_3,atr_3,sma20_percent_3,sma50_percent_3,sma200_percent_3,high_52w_percent_3,low_52w_percent_3,rsi_3,price_3,change_percent_3,from_open_percent_3,gap_3,volume_3,beta_2,atr_2,sma20_percent_2,sma50_percent_2,sma200_percent_2,high_52w_percent_2,low_52w_percent_2,rsi_2,price_2,change_percent_2,from_open_percent_2,gap_2,volume_2,beta_1,atr_1,sma20_percent_1,sma50_percent_1,sma200_percent_1,high_52w_percent_1,low_52w_percent_1,rsi_1,price_1,change_percent_1,from_open_percent_1,gap_1,volume_1
LTBR,2.38,1.09,34.51,34.84,97.5,-43.45,263.35,59.95,8.03,-20.96,-12.24,-9.94,7150755,2.26,0.98,75.27,70.07,151.53,-28.45,359.73,75.79,10.16,41.11,49.85,-5.83,14275354,2.22,0.75,30.39,20.69,79.9,-49.3,225.79,63.26,7.2,17.46,14.47,2.61,3112274
RENB,0.67,0.18,3.59,-9.93,-15.79,-83.04,125.47,48.09,0.89,-14.37,-15.98,1.92,1629785,0.62,0.18,19.38,5.73,-2.57,-80.19,163.29,53.9,1.04,30.51,26.98,2.77,4166970,0.61,0.17,-11.57,-18.19,-25.94,-84.82,101.75,43.59,0.8,11.47,9.77,1.55,1281407
VINC,1.07,0.03,-43.89,-53.34,-81.34,-98.89,3.79,32.34,0.1,-19.44,-3.7,-16.34,7355467,1.08,0.03,-32.07,-43.22,-77.77,-98.62,28.84,35.95,0.13,15.89,10.34,5.03,8105800,1.13,0.03,-42.56,-51.82,-81.67,-98.81,-20.14,30.89,0.11,-24.47,-15.29,-10.85,8595745
YYAI,0.68,0.25,-59.34,-76.77,-95.23,-99.15,-10.85,22.59,0.45,-13.9,-15.31,1.67,1564745,0.71,0.26,-54.13,-74.22,-94.48,-99.02,-14.98,23.67,0.52,-17.35,-14.7,-3.1,521023,0.74,0.27,-45.75,-70.12,-93.34,-98.81,-14.93,25.39,0.63,-18.25,-16.07,-2.6,404450
LSTA,1.13,0.37,-20.91,-11,-12.23,-36.19,22.37,39.1,2.68,10.29,11.67,-1.23,88551,1.15,0.37,-28.65,-19.43,-20.47,-42.14,10.96,32.75,2.43,-11.64,-7.25,-4.73,112736,1.19,0.37,-19.58,-9.11,-10.09,-34.52,25.57,37.39,2.75,-29.49,7,-34.1,381854
ALUR,-0.65,2.3,4.64,-18.96,-70.99,-93.06,189.41,50.54,6.85,-21.17,-6.42,-15.77,1836187,-0.79,2.28,29.87,0.15,-63.58,-91.2,267.15,57.86,8.69,134.86,-11.33,164.86,70404034,-0.78,1.45,-44.7,-58.3,-84.65,-96.25,56.32,33.66,3.7,21.31,20.92,0.33,3886429
AXIL,-0.6,0.43,36.83,41.84,-8.5,-57.77,67.01,68.25,5.91,-10.42,-9.04,-1.52,23793,-0.67,0.39,56.34,59.69,1.63,-56,86.44,80.99,6.6,39.01,29.41,7.41,75621,-0.7,0.26,16.06,16.26,-27.23,-68.35,34.12,64.36,4.75,19,15.8,2.76,27323
BJDX,0.49,0.56,2.33,-1.04,-93.85,-98.98,29.7,50.18,3.93,-11.49,-4.15,-7.66,60116,0.46,0.55,15.81,11.36,-93.18,-98.85,46.53,56.92,4.44,11,5.71,5,411341,0.44,0.49,5.44,0.27,-93.97,-98.97,32.01,51.72,4,10.5,10.8,-0.28,92248
GOEV,1.21,0.46,-63.74,-90.43,-98.53,-99.6,27.91,24.87,0.41,-13.83,-13.83,0,10640588,1.18,0.48,-59.81,-89.55,-98.31,-99.53,48.44,25.35,0.47,43.94,39.79,2.97,281208152,1.21,0.48,-73.33,-93.04,-98.84,-99.68,3.13,22.25,0.33,-11.53,-10.74,-0.88,3667675
SLNH,3.06,0.34,-3.34,-22.05,-38.78,-75.34,55,45.26,2.17,-21.66,-16.54,-6.14,1254535,3.02,0.31,23.33,-1.9,-21.93,-68.52,97.86,58.46,2.77,17.37,18.38,-0.85,1407598,3.01,0.3,6.31,-16.92,-33.49,-73.18,68.57,49.02,2.36,14.01,14.01,0,635948
ACON,0.4,0.03,-68.96,-76.26,-85.83,-99.01,-3.94,34.52,0.03,-17.02,-7.04,-10.73,64723182,0.31,0.03,-64.51,-72.02,-83.03,-99.01,15.76,35.56,0.04,-30.42,-13.18,-19.85,111256045,0.25,0.03,-51.03,-60.64,-75.76,-98.57,66.36,38.31,0.05,27.08,-21.79,62.5,769478168
MGOL,7.46,0.13,-68.48,-88.26,-94.62,-99.09,-33.29,16.81,0.17,-41.24,-16.85,-29.33,33000208,7.24,0.13,-47.72,-80.67,-90.88,-98.45,-17.37,19.05,0.28,-22.89,-8.35,-15.86,9202612,7.35,0.13,-33.26,-75.67,-88.22,-97.99,1.94,20.91,0.37,-24.95,-21.91,-3.89,5845632
TECX,1.17,5.3,-42.57,-46.02,-10.71,-54.24,101.65,26.72,24.44,-40.65,-40.02,-1.04,1183605,1.18,3.71,-6.18,-9.97,50.71,-22.9,239.77,44.7,41.18,-11.9,-10.11,-1.99,213731,1.16,3.44,5.37,1.97,71.88,-12.49,285.64,56.4,46.74,10.76,8.7,1.9,410510
WINT,0.56,0.04,-43.87,-60.81,-95.78,-99.04,-8.52,16.86,0.14,-10.42,-8.58,-2.02,4064554,0.52,0.05,-39.42,-57.24,-95.33,-98.93,-8.02,18.17,0.16,-11.66,-2.94,-8.98,5261203,0.53,0.05,-33.28,-52.72,-94.76,-98.78,-4.83,19.99,0.18,-11.07,-10.85,-0.25,53263438
ATRA,0.47,1.77,-29.17,-29.3,-24.63,-78.84,54.81,41.76,8.36,13.43,11.47,1.76,292116,0.43,1.82,-38.76,-38.02,-33.84,-81.34,36.48,37.79,7.37,-10.34,-7.99,-2.55,267102,0.41,1.88,-33.34,-31.38,-26.58,-79.19,52.22,39.96,8.22,18.61,18.79,-0.14,720480
PSIX,1,4.65,13.43,28.36,128.01,-14.82,1961.38,57.05,38.96,22.09,13.79,7.3,472787,1.05,4.43,-5.8,5.66,88.77,-30.24,1723.43,48.47,31.91,-25.79,-11.36,-16.28,812508,1.04,3.85,26.8,42.25,156.62,2.51,2357.14,68.43,43,10.26,7.5,2.56,667508
BACK,0.24,0.22,-33.6,-31.17,-56.64,-89.72,69.57,39.25,0.8,-34.67,-12.99,-24.92,2301820,0.22,0.2,-0.44,4.77,-34.07,-84.26,159.57,51.78,1.22,47.17,-8.27,60.43,58709316,0.18,0.16,-32.46,-28.74,-55.39,-89.3,76.38,33.59,0.83,12.8,12.01,0.71,4100439
CRKN,1.06,0.03,-42.92,-76.49,-98.45,-99.93,-6.31,24.29,0.06,-12.12,-2.72,-9.67,44226235,1.1,0.03,-37.45,-74.99,-98.25,-99.92,6.62,25.41,0.07,-23,-7.6,-16.67,70040443,1.08,0.04,-21,-69.38,-97.75,-99.9,38.46,28.39,0.09,-12.02,-6.64,-5.77,27053918
HEPA,1.64,0.08,-56.23,-66.29,-79.03,-94.93,46.28,32.25,0.18,-20.52,-11.5,-10.19,26239331,1.67,0.09,-46.8,-58.33,-73.94,-93.62,84.05,34.62,0.22,34.97,2.82,31.27,314151149,1.61,0.08,-61.82,-69.59,-80.92,-95.27,36.36,28.46,0.17,-13.43,-8.28,-5.61,26845547
NRXP,1.16,0.68,-12.36,41.31,36.59,-57.18,185.45,50.56,3.14,-11.55,-9.25,-2.54,784286,1.1,0.69,1.39,62.53,53.64,-51.59,222.73,54.87,3.55,24.56,25,-0.35,1312524,1.15,0.67,-16.19,33.28,22.82,-61.13,159.09,47.82,2.85,-11.49,-10.09,-1.55,706052
