ticker,beta_3,atr_3,sma20_percent_3,sma50_percent_3,sma200_percent_3,high_52w_percent_3,low_52w_percent_3,rsi_3,price_3,change_percent_3,from_open_percent_3,gap_3,volume_3,beta_2,atr_2,sma20_percent_2,sma50_percent_2,sma200_percent_2,high_52w_percent_2,low_52w_percent_2,rsi_2,price_2,change_percent_2,from_open_percent_2,gap_2,volume_2,beta_1,atr_1,sma20_percent_1,sma50_percent_1,sma200_percent_1,high_52w_percent_1,low_52w_percent_1,rsi_1,price_1,change_percent_1,from_open_percent_1,gap_1,volume_1
BNZI,-0.67,0.32,0.78,-34.5,-85.51,-99.81,22.01,43.8,1.58,-12.71,-7.6,-5.52,615689,-0.71,0.33,14.83,-26.9,-83.66,-99.78,39.77,48.58,1.81,-11.71,-8.12,-3.9,1314278,-0.66,0.32,29.52,-19.08,-81.76,-99.75,58.3,54.34,2.05,47.48,-1.44,49.64,54312494
CARM,1.51,0.06,-39.74,-46.9,-63.01,-84.65,-12.8,11.95,0.49,-12.82,-9.72,-3.43,920974,1.52,0.06,-32.91,-39.72,-57.9,-82.4,-12.01,14.06,0.56,-19.69,-16.97,-3.28,797085,1.51,0.06,-18.62,-25.58,-47.97,-78.08,-11.36,20.5,0.69,-11.43,-8.98,-2.7,655896
DHAI,-0.58,0.22,14.31,2.28,-22.03,-89.57,101.95,51.58,1.45,-11.59,-3.33,-8.54,59758,-0.62,0.21,31.37,15.43,-11.65,-88.2,128.41,58.06,1.64,-15.9,-17.17,1.54,152162,-0.59,0.2,59.34,36.8,5.28,-85.97,171.59,71.7,1.95,25,18.18,5.77,289695
RGTI,2.72,0.85,93.58,211.24,347.96,-25,804.55,72.22,5.97,-19.11,-10.23,-9.89,156750306,2.63,0.75,157.1,306.82,462.11,7.11,1018.18,91.47,7.38,13.71,-7.29,22.65,308532784,2.71,0.64,151.94,285.96,404.99,27.5,883.33,89.89,6.49,45.19,50.93,-3.8,237172790
AMPG,0.66,0.3,116.03,131.41,68.64,-13.73,243.75,83.54,2.2,13.99,-3.93,18.65,79697833,0.68,0.22,103.07,109.45,48.1,-24.31,201.56,80.67,1.93,94.54,8.43,79.42,191764387,0.68,0.12,10.43,10.43,-23.86,-61.09,55.02,55.72,0.99,12.74,12.33,0.36,1222146
BJDX,0.69,1,18.22,-2.83,-95.74,-99.71,51.82,51.28,4.6,12.2,12.75,-0.49,63074,0.64,1.03,4.57,-13.95,-96.25,-99.74,35.31,48.05,4.1,-15.29,-2.61,-13.02,74942,0.67,1.05,21.42,0.67,-95.63,-99.69,59.74,52.86,4.84,19.21,19.8,-0.49,123859
AUMN,0.14,0.03,-51.76,-58.93,-68.91,-84.63,-8.97,17.62,0.12,-18.5,-16.76,-2.09,1392174,0.12,0.03,-43.02,-50.17,-61.95,-81.14,-14.89,20.09,0.15,-15.37,-21.76,8.17,1078554,0.12,0.03,-34.7,-41.65,-55.26,-77.71,-17.65,23.04,0.17,-22.91,-23.58,0.88,613166
BURU,-0.22,0.12,-23.35,-39.08,-88.66,-97.86,108.62,42.31,0.33,-33.27,-9.78,-26.03,29199928,-0.18,0.1,13.87,-9.09,-83.17,-96.79,212.62,52.86,0.5,101.69,11.18,81.41,141403049,-0.2,0.09,-42.98,-54.85,-91.73,-98.41,-35.4,27.42,0.25,-42.46,-49.9,14.85,28196269
CADL,-1,1.47,32.97,26.17,13.5,-53.77,561.76,56.74,6.75,-31.12,-0.15,-31.02,18606225,-0.94,1.3,97.83,83.2,65.46,-32.88,880,81.24,9.8,26.45,22.81,2.97,28028189,-0.93,1.17,65.66,46.52,31.74,-45.8,856.79,74.32,7.75,68.11,-38,171.15,100478465
QTTB,-0.45,4.03,-84.02,-90.05,-88.01,-93.12,-11.27,15.6,3.7,-12.94,-14.94,2.35,1856365,-0.47,4.29,-82.83,-88.8,-86.25,-92.1,-26.72,15.85,4.25,-28.57,-28.57,0,2469443,-0.48,4.48,-77.57,-84.63,-80.79,-88.94,-37.63,16.62,5.95,-75.62,-25.63,-67.23,3400299
SFIX,1.99,0.54,-12.17,6.58,18.51,-43.88,90.29,46.07,3.92,-15.7,-14.97,-0.86,12349963,1.98,0.52,4.4,27.28,40.73,-33.43,125.73,53.13,4.65,-29.97,-28.24,-2.41,16994454,1.99,0.4,50.53,83.79,101.39,31.62,222.33,86.78,6.64,44.35,15.48,25,27597751
CSBR,0.46,0.57,35.62,41.24,31.78,-11.22,75.83,71.05,6.33,22.67,19.43,2.71,137106,0.47,0.5,12.81,16.06,7.5,-27.63,43.33,59.4,5.16,-11.64,-17.17,6.68,156399,0.46,0.4,28.46,31.74,21.56,-18.1,62.22,75.88,5.84,12.09,3.36,8.45,308163
BNED,2.13,1.28,7.94,15.87,-49.7,-94.73,97.02,54.78,11.92,-10.24,-10.17,-0.08,1240378,2.14,1.15,21.43,29.77,-44.87,-94.12,119.5,63.94,13.28,15.38,12.93,2.17,527484,2.14,1.09,6.78,13.39,-53.03,-94.91,90.25,54.81,11.51,-11.53,-6.27,-5.61,722719
NEHC,0.02,1.14,-74.31,-77.1,-77.44,-80.47,-23.81,5.59,2.4,-29.62,-32.96,4.99,332569,0.01,1.14,-65.17,-68,-68.07,-72.25,-5.54,6.42,3.41,-23.02,-17.43,-6.77,154224,-0.03,1.13,-56.52,-59.02,-58.65,-63.95,22.71,7.46,4.43,-14.97,-12.45,-2.88,246494
SPGC,3.57,0.19,-80.35,-84.06,-93.06,-97,-1.79,12.43,0.28,-11,-11.29,0.32,3396960,3.54,0.2,-78.96,-82.76,-92.26,-96.63,10.36,12.7,0.31,-17.14,-20.57,4.32,7249131,3.06,0.2,-75.75,-79.91,-90.73,-95.93,-73.17,13.18,0.37,-73.36,16.53,-77.14,29260978
TRUG,-0.77,0.13,5.36,-16.75,-53.34,-95.69,45.51,48.45,0.51,-25.45,-10.53,-16.68,6662207,-0.75,0.12,41.77,10.09,-37.64,-94.21,95.18,65.07,0.68,31.84,-19.1,62.96,141151855,-0.75,0.1,10.23,-17.2,-52.83,-95.61,48.05,49.94,0.52,17.66,18.5,-0.7,66724187
RR,1.3,0.12,34.84,42.04,-11.76,-92.1,221.44,63.83,0.97,14.92,7.87,6.53,14881175,1.57,0.11,20.74,24.53,-23.43,-93.12,179.72,57.78,0.85,12.72,12.39,0.29,5507975,1.46,0.11,9.14,10.97,-32.32,-93.9,148.15,52.17,0.75,-11.2,-11.78,0.65,5073992
SOBR,0.22,0.77,-77.16,-82.31,-95.01,-98.86,1.01,20.28,1,-13.04,-10.71,-2.61,2206193,0.22,0.8,-74.61,-80.29,-94.35,-98.69,-67.7,20.77,1.15,-67.79,-2.54,-66.95,5444596,0.21,0.67,-23.74,-39.37,-82.75,-95.94,-3.51,32.55,3.57,-11.19,-9.85,-1.49,27271
XXII,1.5,1.73,-61.52,-68.72,-96.08,-99.25,-21.05,17.41,22,-22,-12.6,-10.75,460512,1.51,0.01,-52.46,-61.07,-95.05,-99.04,-1.66,19.33,22,-15.48,-7.78,-8.35,13800693,1.5,0.01,-45.34,-55.19,-94.22,-98.86,-30.94,21.14,22,-33.2,-3.73,-30.61,41442449
APDN,0.45,0.04,29.83,1.65,-90.04,-98.4,91.03,53.62,0.23,24.46,21.05,2.81,30919237,0.45,0.04,6.13,-19.36,-92.18,-98.82,53.49,45.17,0.18,12.27,2.67,9.36,9018502,0.43,0.04,-4.85,-29.32,-93.19,-98.96,14.62,40.66,0.16,-26.32,-21.62,-6,14773213
BLUE,0.72,1.56,12.46,3.66,-45.78,-85.98,54.66,52.48,8.97,14.85,15.44,-0.51,1105545,0.73,1.51,-0.64,-10.04,-53.1,-89.09,34.66,48.39,7.81,23.19,24.76,-1.26,947485,0.73,1.47,-18.62,-27.57,-62.19,-91.15,9.31,42.56,6.34,-16.58,-16.14,-0.53,716424
CERO,0.3,0.03,-59.7,-52.73,-90.85,-99.52,20.27,36.83,0.06,19.8,22.2,-1.96,153392344,0.33,0.04,-68.23,-60.74,-92.5,-99.6,-7.78,34.42,0.05,-10.05,-8.27,-1.94,41990179,0.32,0.04,-67.09,-56.64,-91.84,-99.56,-10.85,35.12,0.06,-18.53,-19.8,1.58,30866445
QBTS,1.73,0.93,124.15,276.93,451.63,9.09,1132.94,83.92,8.4,16.18,1.94,13.97,171676493,1.73,0.83,112.68,247.64,385.92,34.39,961.21,80.94,7.23,44.6,44.6,0,162283917,1.76,0.68,60.26,155.73,242.38,-7.06,633.89,71.6,5,27.88,28.21,-0.26,80264717
ALBT,0.23,0.66,-17.75,-15.85,-42.73,-87.59,27.01,41.99,2.68,-14.38,-11.84,-2.88,69547,0.23,0.68,-4.09,-2.16,-33.35,-85.51,48.34,46.4,3.13,-18.91,-16.53,-2.85,51798,0.2,0.67,19.04,20.65,-18.05,-82.13,82.94,55.13,3.86,-16.09,-14.41,-1.96,112753
AMOD,0.04,1.75,-73.68,-75.91,-76.39,-80.8,-7.17,24.46,2.59,-13.67,-12.2,-1.67,83948,0,1.83,-70.77,-72.56,-72.76,-77.76,-33.33,25.17,3,-45.45,-39.39,-10,247217,0.01,1.71,-48.49,-50.45,-50.22,-59.23,-32.68,30.08,5.5,-42.11,-56.21,32.21,148455
BGFV,2.31,0.19,-0.6,-5.13,-32.26,-74.29,19.72,48.49,1.73,-25.75,-23.45,-3,1714844,2.32,0.15,34.29,27.32,-9.21,-65.38,61.25,72.72,2.33,26.63,28.73,-1.63,2316588,2.33,0.11,7.79,0.88,-28.6,-73.33,27.34,56.08,1.84,14.29,13.58,0.62,1094174
EKSO,1.46,0.07,-5.9,-23.74,-43.29,-79.83,26.2,40.76,0.63,-11.99,-12.36,0.42,209933,1.46,0.07,6.32,-14.15,-35.83,-77.08,43.4,49.79,0.72,12.05,8.64,3.14,223641,1.47,0.06,-5.11,-23.96,-43.08,-79.55,27.98,38.44,0.64,12.92,13.06,-0.12,194828
MODV,0.55,1.22,-32.04,-28.68,-47.25,-77.49,7.09,26.21,11.78,-16.42,-16.16,-0.32,367144,0.54,1.13,-19.57,-15.11,-37.16,-73.07,28.14,32.95,14.1,-11.35,-9.94,-1.57,439207,0.54,1.08,-9.65,-4.45,-29.39,-69.62,44.55,40.5,15.9,-10.77,-8.62,-2.36,178147
OPTX,-0.94,0.52,113.38,94.98,7.98,-69.73,200.56,64.92,2.54,-28.05,-18.33,-11.9,4461186,-0.73,0.45,218.22,176.23,49.09,-57.93,317.7,85.02,3.53,98.31,-8.07,115.73,93016830,-0.71,0.23,81.21,44.37,-25.07,-78.78,110.63,69.53,1.78,80.6,79.8,0.45,11654466
PRSO,1.58,0.12,9.15,-22.1,-29.65,-91.32,33.21,48.62,0.97,-11.6,-10.79,-0.91,304916,1.59,0.12,24.5,-12.86,-20.61,-90.18,50.68,57.23,1.1,17.52,5.77,11.11,654576,1.6,0.11,7.4,-26.52,-32.6,-91.64,28.22,45.77,0.94,12.64,14.15,-1.32,653867
PTPI,2.06,0.07,11.26,8.45,-35.13,-84.53,59.01,52.14,0.35,-29.78,8.03,-35,7439614,2.13,0.06,61,54.63,-8.6,-77.97,126.45,71.02,0.5,87.27,61.24,16.14,62663232,2.11,0.04,-10.61,-16.6,-51.69,-88.24,20.92,38.84,0.27,-19.04,-10.1,-9.95,1455434
SIDU,-0.93,0.76,137.6,115.15,63.12,-75.86,295.65,71.77,4.55,-18.75,-9,-10.71,12220278,-0.79,0.72,219.63,169.59,100.71,-70.29,386.96,88.02,5.6,22.27,0.72,21.4,73652129,-0.77,0.53,199.25,126.76,64.13,-75.7,298.26,84.95,4.58,220.28,103.56,57.34,293024366
UAVS,4.22,1.31,-15.89,20.02,-78.3,-95.77,224.03,47.11,4.99,-11.68,-15.28,4.25,898579,4.21,1.32,-3.96,36.08,-75.68,-95.21,266.88,50.38,5.65,-17.16,-11.58,-6.3,1308570,4.22,1.32,17.69,58.43,-70.97,-94.76,342.86,56.87,6.82,31.41,27.48,3.08,3532405
LUXH,-1.47,0.37,0.96,-58.08,-96.65,-99.79,90.57,38.2,1.01,18.82,27.85,-7.06,3507547,-1.44,0.37,-18.92,-65.9,-97.27,-99.82,60.38,32.87,0.85,59.68,32.61,20.42,29208685,-1.43,0.27,-52.15,-79.34,-98.34,-99.89,-1.5,20.19,0.53,-14.15,-13.99,-0.18,192930
MOBX,-0.26,0.29,88.67,140.94,43.73,-82.6,293.83,76.06,2.17,16.04,5.85,9.63,5453331,-0.25,0.26,74.4,113.36,23.94,-85,239.38,72.1,1.87,35.51,23.03,10.14,2205389,-0.23,0.24,36.76,60.68,-8.58,-88.96,150.45,62.76,1.38,20,15,4.35,1453887
QUBT,3.06,2.5,210.74,521.01,1519.32,42.19,7135.84,90.2,25.68,52.95,33.47,14.59,227920804,3.11,1.89,136.24,361.77,1048.74,36.73,4630.91,84.38,16.79,51.53,19.42,26.9,188830607,3.14,1.5,73.47,234.28,701.84,20.43,3022.01,75.81,11.08,65.25,56.06,5.89,113561340
SKYT,3.68,1.22,69.92,67.22,76.83,16.31,179.93,87.14,15.76,20.49,12.57,7.03,9265360,3.72,0.86,47.01,40.89,47.11,0.85,132.33,81.49,13.08,28.74,28.99,-0.2,4197722,3.71,0.63,17.61,10.54,14.35,-21.67,80.46,66.69,10.16,10.92,11.04,-0.11,739973
VNCE,1.75,0.24,57.32,48.55,35.48,-43.32,131.03,72.92,2.68,69.62,48.89,13.92,1540162,1.75,0.16,-4.5,-11.76,-20.22,-66.58,36.21,45.19,1.58,13.67,10.49,2.88,18306,1.75,0.15,-16.34,-22.73,-30.09,-70.6,20.87,34.42,1.39,-11.46,-14.72,3.82,31356
COEP,-0.86,0.03,-24.45,-27.1,-44.09,-85.1,-4.37,35.79,0.14,-18.41,-14.7,-4.35,2316422,-0.9,0.02,-8.58,-10.95,-31.99,-81.74,17.21,44.08,0.18,-16.07,-25.34,12.42,2949628,-0.9,0.02,8.43,6.17,-19.52,-78.25,39.64,56.79,0.21,10.47,8.21,2.09,904355
PRTG,1.3,1.36,27.02,14.5,4,-85.66,178.84,54.89,5.85,-25.95,-22.31,-4.68,191747,1.46,1.26,73.95,53.99,39.76,-80.64,276.55,68.06,7.9,-12.61,-11.14,-1.66,1110336,1.54,1.17,107.62,76.58,59.45,-77.84,330.89,77.69,9.04,178.15,0,178.15,36558141
CVM,0.58,0.11,19.88,2.18,-36.71,-76.31,54.66,55.69,0.77,23.4,14.78,7.52,7253849,0.56,0.08,-1.8,-17.8,-49.06,-80.8,25.33,45.66,0.62,-18.09,-20.51,3.05,1364001,0.57,0.07,19.65,-0.78,-38.22,-76.57,53,56.95,0.76,16.45,18.27,-1.54,841262
MIND,0.98,0.5,54.34,80.08,69.94,0.68,143.93,78.36,7.44,17.17,15.53,1.42,535159,1.1,0.45,36.9,56.47,45.24,-12.89,108.2,71.87,6.35,-11.56,-12.65,1.25,521833,1.13,0.4,59.17,79.14,64.28,2.87,135.41,91.22,7.18,13.97,13.97,0,900408
TNYA,2.93,0.46,-51.76,-41.26,-57.02,-79.89,42.9,32.94,1.41,14.63,12.8,1.63,6501642,2.77,0.48,-58.5,-48.89,-62.8,-82.45,24.66,29.58,1.23,-12.77,-13.38,0.71,11082414,2.73,0.5,-53.24,-41.65,-57.71,-79.89,-12.42,31.02,1.41,-51.04,-29.5,-30.56,42354552
MGOL,7,0.19,-54.88,-59.67,-72.38,-94.81,-29.63,10.86,0.95,-32.14,-32.14,0,222611,6.88,0.17,-35.65,-41.35,-59.47,-92.35,-11.39,15.19,1.4,-11.95,-20.9,11.32,139701,6.92,0.15,-28.54,-33.94,-54.14,-91.31,-16.53,18,1.59,-19.7,-19.29,-0.51,54377
UVIX,-3.91,0.5,11.74,-8.07,-38.3,-80.82,28.09,51.06,2,-29.07,-27.74,-1.85,70128743,-3.74,0.41,57.11,28.52,-13.47,-72.96,80.6,74.83,2,30.75,32.35,-1.21,88391146,-3.63,0.33,22.5,-1.74,-34.09,-79.32,38.13,61.3,2,20.76,22.55,-1.46,65564847
UVXY,-4.49,2.12,10,-3.37,-16.94,-65.96,22.25,52.04,22.42,-22.07,-20.97,-1.39,24395822,-4.44,1.77,41.03,23.33,6.32,-56.32,56.87,75.35,28.77,13.99,23.48,-7.69,35970535,-4.4,1.46,25.48,8.26,-6.85,-61.68,37.62,67.93,25.24,24.27,26.01,-1.38,32249020
ABP,-0.24,0.76,3.31,-68.04,-78.74,-84.08,117.89,34.06,2.07,38.93,46.81,-5.37,17768255,-0.18,0.62,-27.64,-77.65,-84.76,-88.54,36.7,22.82,1.49,35.45,0,35.45,16911882,-0.39,0.57,-48.96,-83.97,-88.8,-91.54,-7.56,13.63,1.1,-10.57,-9.09,-1.63,20772
AEMD,1.85,0.1,41.57,45.33,-14.8,-75.32,144.21,62.1,0.58,33.83,-1.69,36.13,71516289,1.72,0.08,8.36,9.67,-36.86,-81.56,82.48,52.48,0.43,-34.39,4.76,-37.38,9445338,1.88,0.06,66.06,67.51,-4.65,-71.89,178.15,82.69,0.66,80.64,77.34,1.86,44060568
AIEV,0.47,0.07,12.26,0.02,-92.05,-97.19,52.81,53.78,0.34,13.71,14.83,-0.97,932238,0.51,0.07,-0.44,-12.99,-93.09,-97.53,34.38,48.23,0.3,10.09,6.79,3.09,572591,0.35,0.07,-9.58,-21.7,-93.8,-97.76,22.07,44.06,0.27,15.33,18.91,-3.01,694081
CVKD,1.29,1.8,21.64,9.48,68.2,-50.32,199.44,61.78,16.17,11.59,1.76,9.66,202001,1.45,1.67,9.89,-1.24,51.24,-55.48,168.33,55.25,14.49,11.81,5.69,5.79,155508,1.41,1.57,-1.71,-11.36,35.62,-60.18,140,47.69,12.96,13.19,12.01,1.05,121779
DNMR,1.6,0.98,-33.82,-67.9,-86.4,-95.86,24.49,28.37,3.05,20.08,17.76,1.97,560633,1.58,0.97,-46.06,-74.01,-88.83,-96.55,-10.25,22.7,2.54,-11.81,-15.33,4.17,200245,1.46,1,-40.83,-71.39,-87.5,-96.09,-21.1,23.87,2.88,-23.4,-24.41,1.33,204063
QMCO,3.29,9.33,114.42,314.32,432.02,-28.35,1972.07,66.27,46,27.67,39.39,-8.41,7479973,2.97,8.81,86.16,251.58,325.52,-43.88,1522.97,61.77,36.03,-39.97,-24.94,-20.03,7023922,3.55,7.29,239.02,525.62,619.96,81.88,2603.6,88,60.02,153.04,170.97,-6.62,22332945
RCAT,0.53,1.47,20.02,85.7,292.85,-14.48,1811.11,62.9,10.75,18.33,22.58,-3.47,22953781,0.54,1.39,3.42,61.14,238.15,-27.72,1515.11,57.01,9.09,11.47,13.85,-2.09,8682606,0.47,1.38,-5.77,47.55,208.11,-35.16,1348.89,53.13,8.15,-15.72,-17.93,2.69,14077978
RDZN,0.29,0.42,60.65,114.07,-5.35,-65.69,246.48,66.67,2.46,20,21.78,-1.46,4263362,0.51,0.39,41.35,83.42,-21.73,-71.41,188.73,61.62,2.05,34.87,31.41,2.63,3357110,0.69,0.35,9.61,38.86,-42.45,-78.8,114.08,53.08,1.52,11.76,4.83,6.62,1547023
SABS,0.45,0.55,32.55,41.2,38.88,-39.61,115.28,63.47,4.65,19.23,16.54,2.31,115395,0.52,0.52,13.74,19.98,16.36,-50,80.56,55.71,3.9,16.77,13.04,3.29,209909,0.56,0.48,-1.39,3.51,-0.55,-58,54.63,48.05,3.34,-17.12,-16.92,-0.25,117468
BHIL,1.98,0.39,-14.5,-52.53,-61.98,-78.5,27.8,31.4,2.37,-11.9,-20.47,10.78,37872,2.02,0.37,-5.56,-47.08,-57,-75.6,45.05,35.35,2.69,12.55,14.47,-1.67,58676,2.05,0.35,-18.09,-53.74,-61.91,-78.32,28.88,27.4,2.39,19.5,17.16,2,107105
BPTH,0.09,0.28,39.99,23.76,-41.45,-90.75,87.1,59.49,1.11,-11.9,-9.02,-3.17,1549792,-0.02,0.29,61.86,40.42,-34.36,-89.5,112.38,66.52,1.26,-15.44,-9.35,-6.71,3725952,0.23,0.28,97.25,66.5,-23.37,-87.58,151.15,79.99,1.49,122.72,-54.01,384.3,113230502
CTM,-1.29,0.07,43.55,96.27,103.41,-28.46,252.71,61.06,0.43,-28.46,-0.26,-28.27,11517460,-1.18,0.06,110.15,180.97,184.89,30.33,393.01,82.35,0.6,46.26,29.48,12.95,8802020,-1.05,0.05,55.67,100.11,95.94,-6.84,237.09,72.43,0.41,36.63,24.21,10,6092888
GORO,1.5,0.03,20.51,5.12,-41.63,-69.24,76.13,57.61,0.22,-11.94,-7.54,-4.76,1118424,1.5,0.03,39.18,17.73,-33.8,-65.07,100,67.33,0.25,12.37,18.1,-4.85,6773203,1.58,0.03,27.42,3.73,-41.12,-68.92,77.98,61.81,0.22,30.59,30.59,0,6981059
AVGR,1.23,0.13,-11.01,-18.77,-64.64,-88.21,64.72,45.98,0.64,33.11,31.42,1.28,1377672,1.18,0.12,-34,-39.31,-73.63,-91.14,23.74,35.28,0.48,-32.61,-23.3,-12.14,539533,1.24,0.11,-4.08,-10.82,-61.17,-86.86,83.62,48.25,0.72,46.05,46.14,-0.06,1522997
BRKH,-0.01,1.34,52.44,60.23,68.25,42.77,75.79,69.77,18.81,42.77,39.33,2.47,2989,-0.23,0.53,10.08,13.7,18.28,9.79,23.13,54.78,13.18,-29.01,5.4,-32.65,769,0.04,0.11,56.23,60.71,66.82,57.63,73.46,97.83,18.56,60.69,62.1,-0.87,1150
IVDA,1.02,0.61,64.79,98.02,-4.03,-63.78,189.76,67.75,3.68,24.75,5.44,18.31,1346751,1.06,0.54,36.79,62.48,-23.33,-70.96,132.28,61.11,2.95,25.53,34.09,-6.38,714467,0.96,0.5,10.66,31.46,-39.22,-76.87,85.04,53.87,2.35,-25.87,-30.47,6.62,665502
NVTS,2.29,0.45,15.41,41.3,10.75,-54.24,120.57,61.26,3.86,21.77,18.77,2.52,13956117,2.31,0.42,-3.13,17.16,-9.17,-62.42,81.14,51.65,3.17,12.81,14.44,-1.42,10222129,2.25,0.41,-12.6,4.45,-19.74,-66.69,60.57,45.04,2.81,-14.85,-15.36,0.61,8554962
RGTI,2.17,1.69,87.75,252,587.33,-14.04,1560.61,69.99,10.96,16.97,-9.5,29.24,228047862,2.17,1.59,74.28,221.9,504.65,-26.51,1319.7,66.18,9.37,25.44,29.06,-2.81,214684166,1.8,1.47,49.94,172.78,393.65,-41.41,1031.82,60.64,7.47,-30.12,-26.11,-5.43,172136739
ADGM,0.03,0.35,-53.5,-60.44,-86.58,-91.61,-7.57,25.04,0.97,-10.96,-6.68,-4.59,361391,0.01,0.37,-49.76,-56.23,-85.03,-90.58,-19.85,26.52,1.09,-33.94,-35.5,2.42,4792622,0.02,0.35,-26.29,-34.65,-77.48,-85.74,1.85,34.2,1.65,-10.33,-11.29,1.09,284094
CYN,-1.3,0.67,-84.26,-86.26,-91.79,-98.11,69.64,24.01,0.6,-14.84,-9.68,-5.71,5616017,-1.22,0.71,-82.84,-84.12,-90.48,-97.78,99.2,24.6,0.7,49.29,4.2,43.27,52324413,-1.19,0.73,-89.22,-89.51,-93.7,-98.51,-70.69,21.77,0.47,-70.88,23.79,-76.47,27315007
LTRY,1.23,0.07,19.25,9.35,-64.32,-88.9,81.43,56.01,0.4,-14.07,-8.58,-6,602491,1.23,0.06,40.04,26.22,-58.87,-93.37,111.13,67.96,0.46,11.75,2.06,9.5,3525446,1.3,0.06,27.65,12.54,-63.53,-94.07,88.92,62.8,0.42,41.98,39.13,2.05,11278734
MTEM,1.15,0.08,-69.79,-75.17,-91.3,-97.4,-16.25,27.43,0.11,-23.43,-23.43,0,4320973,1.16,0.09,-62.15,-68,-88.78,-96.6,3.7,29.23,0.14,-12.5,-12.5,0,2394658,1.07,0.09,-57.85,-65.52,-87.35,-96.12,-45.76,30.15,0.16,-54.29,6.67,-57.14,8462491
PIK,2.91,0.44,5.28,3.78,-17.87,-77.76,53.55,44.72,2.38,-17.93,-24.92,9.31,998212,2.96,0.41,27.04,26.34,-0.42,-72.9,87.1,67.95,2.9,27.75,-15.2,50.66,21141571,2.98,0.24,0.97,-0.37,-22.03,-78.79,46.45,51.88,2.27,11.82,8.61,2.96,423765
ANEB,-1.07,0.23,17.5,2.01,-25.15,-50.91,102.47,49.86,1.62,29.6,47.27,-12,90948,-1.01,0.2,-9.31,-21.7,-42.42,-62.12,56.23,42.23,1.25,26.26,20.19,5.05,549157,-1,0.18,-28.71,-38.47,-54.56,-70,6.25,25,0.99,-10.81,-15.38,5.41,88116
FREY,1,0.28,53.77,72.97,84.16,4.56,227.33,75.79,2.98,16.41,14.62,1.56,5711328,1.02,0.26,34.67,52.05,58.87,-10.18,181.2,70.01,2.56,18.52,16.36,1.85,9603058,1.05,0.23,13.95,30.69,34.38,-24.21,137.26,61.73,2.16,19.34,10.2,8.29,6312083
LNZA,1.39,0.15,48.5,15.18,-18.55,-72.1,90.48,68.74,1.6,17.65,17.65,0,2508930,1.45,0.14,29.56,-2.49,-31.02,-76.28,61.9,60.4,1.36,33.33,25.93,5.88,2504789,1.5,0.12,-1.42,-27.63,-48.5,-82.21,21.43,43.72,1.02,16.37,16.95,-0.49,1582289
MOBX,-0.22,0.38,43.82,103.77,30.22,-84.2,257.53,59.52,1.97,55.12,40.71,10.24,3326001,-0.31,0.35,-3.41,34.07,-15.94,-89.82,130.49,50.18,1.27,-32.09,-31.72,-0.53,1729271,-0.38,0.32,45.19,98.76,23.72,-85,239.38,65.5,1.87,-10.31,9.36,-17.99,1172921
DRCT,6.59,0.73,125.04,57.46,-40.01,-91.61,489.96,59.27,3.01,-18.87,-4.14,-15.36,5370761,5.94,0.7,198.58,93.25,-27.49,-89.66,627.17,63.83,3.71,-32.55,-42.39,17.09,23814523,6.99,0.51,385.64,186.28,5.58,-84.67,978.01,86.06,5.5,900,816.67,9.09,60170611
FOXX,-0.21,1.1,-4.25,-23.4,-49.28,-65.91,76.81,44.05,5.11,-12.2,-10.35,-2.06,23426,-0.19,1.12,8.07,-13.83,-42.41,-61.17,101.38,49.71,5.82,14.79,18.05,-2.76,31764,-0.29,1.09,-6.08,-25.59,-49.95,-66.18,75.43,42.83,5.07,-12.89,-12.89,0,22975
TOVX,1.28,0.17,21.91,9.49,-71.14,-90.77,38.6,58.65,1.58,-10.23,12.86,-20.45,870412,1.31,0.16,38.53,22.65,-68.14,-89.72,54.39,61.3,1.76,35.38,15.03,17.69,6856872,1.32,0.11,3.34,-9.2,-76.69,-92.4,14.04,48.61,1.3,14.04,13.04,0.88,8579064
ABAT,1.75,0.31,167.86,201.14,161.77,-43.42,330.14,92.71,3.14,20.77,9.41,10.38,34474562,1.75,0.24,144.23,159.85,117.79,-53.15,256.16,90.74,2.6,46.07,30.65,11.8,40156745,1.84,0.17,81.66,83.92,49.49,-71.06,143.84,83.81,1.78,60.36,11.95,43.24,38544917
AMPG,0.46,0.63,175.76,290.96,280.21,17.7,700,84.6,5.12,26.73,38.01,-8.17,20141952,0.47,0.52,145.03,229.77,203.73,26.25,531.25,80.54,4.04,63.56,34.67,21.46,25001879,0.49,0.41,65.74,112.84,87.38,-22.81,285.94,68.12,2.47,24.75,17.62,6.06,5104798
KITT,-0.02,0.16,64.02,51.44,-53.96,-93.81,116.86,74.87,1.78,56.14,54.78,0.88,7877995,-0.01,0.12,8.91,-2.25,-70.7,-96.04,38.89,54.2,1.14,11.76,6.54,4.9,753150,0.02,0.12,-1.44,-12.88,-74.03,-96.45,24.27,47.4,1.02,12.09,7.37,4.4,1309159
SES,2.17,0.16,199.18,210.21,41.65,-29.7,610,89.72,1.42,100,42,40.85,192540571,2.15,0.08,68.33,60.64,-29.26,-64.85,255,77.27,0.71,36.33,14.52,19.05,48664529,2.19,0.06,29.67,18.49,-48.31,-76.65,160.4,63.77,0.52,26.04,26.68,-0.51,19515638
